dataset,optimal_hidden_dim,relative_f_norm
1,2,0.3998297
1,4,0.4369771
1,8,0.44379643
1,16,0.42716563
1,32,0.39955476
1,64,0.40397298
2,2,0.51278496
2,4,0.37423176
2,8,0.3555164
2,16,0.33898443
2,32,0.33764103
2,64,0.3996828
3,2,0.2666715
3,4,0.26934707
3,8,0.29195228
3,16,0.26784548
3,32,0.28712666
3,64,0.28841275
4,2,0.25365236
4,4,0.25457093
4,8,0.25613824
4,16,0.25691998
4,32,0.257218
4,64,0.2481163
5,2,0.20904988
5,4,0.2463962
5,8,0.23932058
5,16,0.25638017
5,32,0.23743793
5,64,0.2780823
6,2,0.31347722
6,4,0.23884231
6,8,0.2436791
6,16,0.23389627
6,32,0.27894017
6,64,0.23817159
7,2,0.2560192
7,4,0.2291479
7,8,0.24266824
7,16,0.22911109
7,32,0.23434764
7,64,0.23645882
8,2,0.25168857
8,4,0.22687872
8,8,0.22835071
8,16,0.22964984
8,32,0.23448457
8,64,0.23486188
9,2,0.27367866
9,4,0.27707523
9,8,0.26891863
9,16,0.2799296
9,32,0.27139348
9,64,0.2703759
10,2,0.22632739
10,4,0.22208513
10,8,0.22326778
10,16,0.25064212
10,32,0.22357744
10,64,0.23694831
11,2,0.24782214
11,4,0.2452595
11,8,0.25636417
11,16,0.26111516
11,32,0.24401598
11,64,0.26019025
12,2,0.24714883
12,4,0.29095957
12,8,0.2870474
12,16,0.28112873
12,32,0.2727443
12,64,0.25090513
13,2,0.26693565
13,4,0.29987103
13,8,0.29617962
13,16,0.29454282
13,32,0.2976387
13,64,0.29415575
14,2,0.31312853
14,4,0.32320607
14,8,0.290089
14,16,0.27189288
14,32,0.26290253
14,64,0.34592226
15,2,0.27399445
15,4,0.25688568
15,8,0.24182108
15,16,0.24299313
15,32,0.25494468
15,64,0.24598455
16,2,0.2739754
16,4,0.24417983
16,8,0.2302746
16,16,0.21941626
16,32,0.28619498
16,64,0.21091026
17,2,0.19333027
17,4,0.23595552
17,8,0.2250726
17,16,0.23126909
17,32,0.26192486
17,64,0.22177844
18,2,0.29782116
18,4,0.33897138
18,8,0.3452907
18,16,0.2960533
18,32,0.30661646
18,64,0.29709366
19,2,0.6980159
19,4,0.7487273
19,8,0.71986914
19,16,0.6769088
19,32,0.7184669
19,64,0.56490725
20,2,1.0818399
20,4,1.2443231
20,8,1.2242514
20,16,1.0589648
20,32,1.1595296
20,64,1.1144422
21,2,1.2420864
21,4,1.475756
21,8,1.4731157
21,16,1.2313666
21,32,1.3253942
21,64,1.0952816
22,2,1.1253359
22,4,1.2041235
22,8,1.4065015
22,16,1.0953074
22,32,0.61476654
22,64,1.4594975
23,2,1.2578354
23,4,1.3609425
23,8,0.827572
23,16,1.0518633
23,32,0.726583
23,64,0.6511532
24,2,0.7335326
24,4,0.6891233
24,8,1.6462177
24,16,1.554165
24,32,0.87284774
24,64,0.8296896
25,2,0.37207642
25,4,0.6472264
25,8,0.42034823
25,16,0.3549311
25,32,0.37698072
25,64,0.8440592
26,2,0.32426372
26,4,0.31205893
26,8,0.357729
26,16,0.3291023
26,32,0.33980277
26,64,0.3551649
27,2,0.3702827
27,4,0.26387203
27,8,0.26694852
27,16,0.2416357
27,32,0.23639542
27,64,0.25383544
28,2,0.21470647
28,4,0.2169958
28,8,0.21305732
28,16,0.21101971
28,32,0.22251236
28,64,0.21311164
29,2,0.2057184
29,4,0.23581472
29,8,0.22849824
29,16,0.22658762
29,32,0.2236231
29,64,0.2223441
30,2,0.25646174
30,4,0.25227824
30,8,0.2530525
30,16,0.24810438
30,32,0.26109692
30,64,0.24486873
31,2,0.24977362
31,4,0.24604174
31,8,0.25012696
31,16,0.24315801
31,32,0.24944362
31,64,0.24852476
32,2,0.23687232
32,4,0.24743581
32,8,0.23032746
32,16,0.23832765
32,32,0.24142568
32,64,0.23512259
33,2,0.3035183
33,4,0.29381508
33,8,0.2921596
33,16,0.2917214
33,32,0.28710794
33,64,0.29582426
34,2,0.26767132
34,4,0.26511875
34,8,0.25599256
34,16,0.26990792
34,32,0.26405668
34,64,0.27861753
35,2,0.25358734
35,4,0.2785335
35,8,0.28368682
35,16,0.3014909
35,32,0.28737384
35,64,0.31354693
36,2,0.27191833
36,4,0.3186371
36,8,0.31089932
36,16,0.31266773
36,32,0.30457282
36,64,0.29547963
37,2,0.23351769
37,4,0.24447438
37,8,0.25911617
37,16,0.23321807
37,32,0.2478756
37,64,0.241827
38,2,0.2836059
38,4,0.26875424
38,8,0.27335888
38,16,0.2767125
38,32,0.28095397
38,64,0.2664436
39,2,0.25435218
39,4,0.23673089
39,8,0.22808483
39,16,0.23638506
39,32,0.22812745
39,64,0.2398905
40,2,0.2631497
40,4,0.27130848
40,8,0.24152267
40,16,0.22267406
40,32,0.25201586
40,64,0.23008318
41,2,0.22640285
41,4,0.22485262
41,8,0.22210112
41,16,0.21373981
41,32,0.23163876
41,64,0.22095017
42,2,0.25421003
42,4,0.23974341
42,8,0.24625227
42,16,0.23015423
42,32,0.23064685
42,64,0.2906098
43,2,0.6653455
43,4,0.6023678
43,8,0.6102449
43,16,0.64891684
43,32,0.63749456
43,64,0.69578546
44,2,0.74972016
44,4,0.87793523
44,8,0.9072594
44,16,0.99638486
44,32,0.94843227
44,64,0.9159509
45,2,1.2167228
45,4,1.2128787
45,8,1.1243103
45,16,1.0344064
45,32,0.95104146
45,64,0.91310567
46,2,1.0486755
46,4,1.5423652
46,8,1.5198656
46,16,0.99245244
46,32,1.0029689
46,64,2.1048021
47,2,0.63628787
47,4,1.870698
47,8,1.1393921
47,16,1.2372231
47,32,0.69703263
47,64,0.7382304
48,2,0.67011684
48,4,1.1247349
48,8,1.579498
48,16,0.62725943
48,32,1.2179317
48,64,2.146985
49,2,0.5355201
49,4,0.53921485
49,8,0.44543985
49,16,0.48456776
49,32,0.84448737
49,64,0.4741402
50,2,0.57165897
50,4,0.3271012
50,8,0.43661115
50,16,0.43758336
50,32,0.44785804
50,64,0.41334134
51,2,0.24384438
51,4,0.2620762
51,8,0.23056194
51,16,0.2544646
51,32,0.22570519
51,64,0.23390266
52,2,0.20909092
52,4,0.20849927
52,8,0.1956866
52,16,0.19768892
52,32,0.19299226
52,64,0.20922378
53,2,0.23319556
53,4,0.21494853
53,8,0.19587229
53,16,0.19387288
53,32,0.1986201
53,64,0.24559072
54,2,0.22038113
54,4,0.21898457
54,8,0.19135891
54,16,0.2017338
54,32,0.19413058
54,64,0.20048338
55,2,0.23833051
55,4,0.24788746
55,8,0.2434154
55,16,0.24360469
55,32,0.23816654
55,64,0.24571113
56,2,0.32698193
56,4,0.32955387
56,8,0.32406017
56,16,0.28965577
56,32,0.30791134
56,64,0.31246382
57,2,0.18201378
57,4,0.17114191
57,8,0.17810045
57,16,0.1932332
57,32,0.21332744
57,64,0.18178383
58,2,0.28056508
58,4,0.21676077
58,8,0.25678244
58,16,0.25119096
58,32,0.21250518
58,64,0.26074278
59,2,0.24013302
59,4,0.25619453
59,8,0.22672139
59,16,0.23904602
59,32,0.26250196
59,64,0.2428739
60,2,0.3613267
60,4,0.36512768
60,8,0.3243464
60,16,0.35642412
60,32,0.37438437
60,64,0.33835706
61,2,0.2530384
61,4,0.27542204
61,8,0.30720332
61,16,0.31118134
61,32,0.3250693
61,64,0.4157031
62,2,0.34851816
62,4,0.2928243
62,8,0.34962514
62,16,0.31139302
62,32,0.31652275
62,64,0.2959668
63,2,0.31610295
63,4,0.29444206
63,8,0.34138218
63,16,0.28674898
63,32,0.31101462
63,64,0.2927593
64,2,0.24016885
64,4,0.24053253
64,8,0.24384235
64,16,0.18180677
64,32,0.20421731
64,64,0.21033889
65,2,0.21141888
65,4,0.19139901
65,8,0.22167675
65,16,0.19952552
65,32,0.21768333
65,64,0.24761745
66,2,0.24975865
66,4,0.22595498
66,8,0.21629284
66,16,0.22069196
66,32,0.21089669
66,64,0.21502107
67,2,0.6545162
67,4,0.66981125
67,8,0.6095556
67,16,0.5539716
67,32,0.70770746
67,64,0.66057616
68,2,1.0081029
68,4,0.8517088
68,8,0.9319348
68,16,1.0375475
68,32,0.8662578
68,64,0.9859692
69,2,1.2295808
69,4,1.2205172
69,8,1.632673
69,16,1.1211191
69,32,1.274944
69,64,1.3039365
70,2,1.6260935
70,4,0.9116486
70,8,1.2346286
70,16,1.2981273
70,32,0.93642366
70,64,1.1365167
71,2,1.3094336
71,4,1.1422355
71,8,0.80960774
71,16,1.3776578
71,32,1.3109109
71,64,0.7762566
72,2,1.1146934
72,4,0.5777231
72,8,0.98039
72,16,0.66171676
72,32,0.6420192
72,64,0.8771052
73,2,0.70033723
73,4,0.5871953
73,8,0.42494556
73,16,0.37988308
73,32,0.4840433
73,64,0.5406559
74,2,0.33528847
74,4,0.3974075
74,8,0.42023402
74,16,0.30960673
74,32,0.32022926
74,64,0.2688527
75,2,0.25547013
75,4,0.27324256
75,8,0.23125033
75,16,0.2537057
75,32,0.2204803
75,64,0.21475059
76,2,0.2917648
76,4,0.2419571
76,8,0.23584427
76,16,0.24496724
76,32,0.24276733
76,64,0.23925701
77,2,0.2023532
77,4,0.18706322
77,8,0.17705606
77,16,0.18582277
77,32,0.18654506
77,64,0.18088363
78,2,0.2536113
78,4,0.26248837
78,8,0.20971851
78,16,0.21016827
78,32,0.20646362
78,64,0.20709497
79,2,0.35079932
79,4,0.33610645
79,8,0.3490583
79,16,0.33867234
79,32,0.33819872
79,64,0.3405018
80,2,0.28112647
80,4,0.28112513
80,8,0.25078008
80,16,0.22858396
80,32,0.24308006
80,64,0.23902103
81,2,0.18853642
81,4,0.1879558
81,8,0.18671678
81,16,0.19148895
81,32,0.18741314
81,64,0.20444895
82,2,0.21314138
82,4,0.20233943
82,8,0.21606793
82,16,0.21018119
82,32,0.20654407
82,64,0.20628466
83,2,0.20898162
83,4,0.21962038
83,8,0.20696113
83,16,0.21109511
83,32,0.211093
83,64,0.21513087
84,2,0.22007427
84,4,0.2077448
84,8,0.2085015
84,16,0.23331706
84,32,0.22535431
84,64,0.22226043
85,2,0.23791833
85,4,0.24664524
85,8,0.25006843
85,16,0.24136399
85,32,0.24658526
85,64,0.28465495
86,2,0.29705718
86,4,0.284767
86,8,0.30697078
86,16,0.27014926
86,32,0.24151444
86,64,0.3062032
87,2,0.2591714
87,4,0.26416424
87,8,0.22177964
87,16,0.2678836
87,32,0.21277906
87,64,0.36560023
88,2,0.23286736
88,4,0.23840107
88,8,0.22020875
88,16,0.2231747
88,32,0.24177185
88,64,0.24032973
89,2,0.20068607
89,4,0.2158885
89,8,0.19527112
89,16,0.24511226
89,32,0.2124
89,64,0.18672243
90,2,0.3404374
90,4,0.39536434
90,8,0.4555352
90,16,0.40301722
90,32,0.36395413
90,64,0.3447986
